
Real Valladolid  VS.  Levante:
D  18  Joan Capdevila
M  3  Ral Rodrguez
M  5  Sergio Tejera
M  11  Rui Fonte
M  12  Samuele Longo
M  22  Mubarak Wakaso
F  10  Verd

Real Madrid  VS.  Granada:
G  1  Iker Casillas
D  3  Pepe
D  4  Sergio Ramos
D  12  Marcelo
D  17  lvaro Arbeloa
M  6  Sami Khedira
M  7  Cristiano Ronaldo
M  14  Xabi Alonso
M  19  Luka Modric
M  21  Jos Maria Callejn
F  9  Karim Benzema
--------------------------
G  1  Too
D  2  Allan-Romo Nyom
D  6  Guillherme Siqueira
D  8  Inigo Lopez
D  20  Borja Gomez
M  9  Youssef El Arabi
M  14  Moreno Mikel Rico
M  19  Fabin Orellana
M  21  Juan Manuel Ortiz
M  24  Santos Iriney
F  7  Antonio Floro Flores

Barcelona  VS.  Valencia:
G  1  Victor Valds
D  2  Dani Alves
D  3  Gerard Piqu
D  14  Javier Mascherano
D  21  Adriano
M  4  Cesc Fbregas
M  6  Xavi
M  25  Alex Song
F  9  Alexis Snchez
F  10  Lionel Messi
F  17  Pedro
--------------------------
G  1  Diego Alves
D  3  Aly Cissokho
D  4  Adil Rami
D  12  Joao Pereira
D  18  Victor Ruiz
M  6  David Albelda
M  7  Jonas
M  8  Sofiane Feghouli
M  17  Andrs Guardado
M  24  Tino Costa
F  9  Roberto Soldado

Celta Vigo  VS.  Osasuna:
G  13  Javi Varas
D  3  Roberto Lago
D  5  Andrs Tez
D  12  Gustavo Cabral
D  28  Jonny
M  4  Borja Oubina Melendez
M  8  lex Lpez
M  9  Mario Bermejo
M  23  Michael Krohn-Dehli
M  24  Augusto Fernndez
F  10  Iago Aspas
--------------------------
G  13  Andrs Fernndez
D  2  Marc Bertrn
D  4  Miguel Flao
D  14  Javi Arribas
D  24  Damia
M  11  Sisi
M  16  Alvaro Cejudo
M  20  Roland Lamah
M  23  Raoul Loe
M  25  Anthony Annan
F  12  Joseba Llorente

Real Zaragoza  VS.  Malaga:
G  1  Roberto Gago
D  4  lvaro
D  6  Bayon Samuel
D  15  Jos Mari
D  21  Abraham Minero
M  3  Javier Paredes
M  11  Francisco Montas
M  12  Romaric
M  22  dm Pintr
F  9  Hlder Postiga
F  18  Lucas Wilchez
--------------------------
G  13  Wilfredo Caballero
D  2  Jesus Gamez
