Malaga,0-2,Espanyol
Sevilla FC,4-0,Real Zaragoza
Osasuna,0-2,Atletico Madrid
Barcelona,3-1,Rayo Vallecano
Granada,1-1,Levante
Real Sociedad,4-1,Real Valladolid
Getafe,1-0,Athletic Bilbao
Real Madrid,5-2,Mallorca
Valencia,3-0,Real Betis
Deportivo La Corua,3-1,Celta Vigo
Athletic Bilbao,1-0,Granada
Real Betis,0-0,Getafe
Real Valladolid,1-3,Osasuna
Mallorca,2-3,Deportivo La Corua
Espanyol,2-2,Real Sociedad
Atletico Madrid,1-1,Valencia
Rayo Vallecano,1-3,Malaga
Celta Vigo,2-2,Barcelona
Real Zaragoza,1-1,Real Madrid
Levante,1-0,Sevilla FC
Mallorca,1-0,Celta Vigo
Rayo Vallecano,0-2,Real Sociedad
Atletico Madrid,5-0,Granada
Real Zaragoza,0-3,Barcelona
Athletic Bilbao,0-3,Real Madrid
Real Valladolid,2-1,Getafe
Levante,0-4,Deportivo La Corua
Espanyol,3-3,Valencia
Malaga,1-0,Osasuna
Real Betis,3-3,Sevilla FC
Sevilla FC,2-1,Athletic Bilbao
Celta Vigo,0-2,Rayo Vallecano
Osasuna,0-2,Espanyol
Getafe,0-0,Atletico Madrid
Valencia,2-1,Real Valladolid
Real Sociedad,4-2,Malaga
Real Madrid,5-1,Levante
Deportivo La Corua,3-2,Real Zaragoza
Barcelona,5-0,Mallorca
Granada,1-5,Real Betis
Real Betis,1-1,Deportivo La Corua
Espanyol,0-1,Granada
Malaga,2-1,Getafe
Real Valladolid,1-1,Sevilla FC
Real Sociedad,4-2,Valencia
Levante,0-1,Celta Vigo
Athletic Bilbao,2-2,Barcelona
Atletico Madrid,1-2,Real Madrid
Real Zaragoza,3-2,Mallorca
Rayo Vallecano,2-2,Osasuna
Celta Vigo,2-1,Real Zaragoza
Getafe,0-2,Espanyol
Deportivo La Corua,1-1,Athletic Bilbao
Osasuna,0-0,Real Sociedad
Sevilla FC,0-1,Atletico Madrid
Granada,1-1,Real Valladolid
Real Madrid,3-1,Real Betis
Barcelona,1-0,Levante
Valencia,5-1,Malaga
Mallorca,1-1,Rayo Vallecano
Valencia,4-0,Osasuna
Granada,1-0,Malaga
Real Madrid,4-3,Real Valladolid
Deportivo La Corua,0-0,Atletico Madrid
Celta Vigo,1-1,Athletic Bilbao
Levante,2-3,Rayo Vallecano
Deportivo La Corua,2-0,Espanyol
Real Zaragoza,1-2,Athletic Bilbao
Barcelona,2-1,Real Valladolid
Getafe,0-1,Valencia
Granada,3-0,Osasuna
Sevilla FC,1-2,Real Sociedad
Real Sociedad,2-2,Granada
Rayo Vallecano,0-4,Valencia
Real Betis,1-0,Celta Vigo
Atletico Madrid,1-2,Barcelona
Malaga,0-0,Sevilla FC
Athletic Bilbao,2-1,Mallorca
Real Valladolid,1-0,Deportivo La Corua
Osasuna,1-0,Getafe
Espanyol,1-1,Real Madrid
Levante,0-0,Real Zaragoza
Celta Vigo,1-3,Atletico Madrid
Real Madrid,6-2,Malaga
Getafe,2-1,Real Sociedad
Mallorca,1-1,Levante
Real Zaragoza,3-0,Rayo Vallecano
Sevilla FC,3-0,Espanyol
Barcelona,4-2,Real Betis
Real Madrid,4-2,Osasuna
Barcelona,4-1,Malaga
Celta Vigo,1-0,Espanyol
Deportivo La Corua,0-1,Real Sociedad
Granada,2-0,Getafe
Levante,1-1,Real Betis
Mallorca,4-2,Real Valladolid
Rayo Vallecano,2-2,Athletic Bilbao
Real Zaragoza,1-3,Atletico Madrid
Sevilla FC,4-3,Valencia
Athletic Bilbao,0-1,Levante
Atletico Madrid,0-0,Mallorca
Espanyol,0-2,Barcelona
Getafe,1-2,Rayo Vallecano
Malaga,3-1,Deportivo La Corua
Osasuna,2-1,Sevilla FC
Real Betis,4-0,Real Zaragoza
Real Sociedad,3-3,Real Madrid
Real Valladolid,0-2,Celta Vigo
Valencia,1-0,Granada
Mallorca,1-0,Real Betis
Rayo Vallecano,3-0,Elche
Almeria,2-3,Villarreal
Celta Vigo,2-2,Espanyol
Barcelona,7-0,Levante
Osasuna,1-2,Granada
Real Madrid,2-1,Real Betis
Sevilla FC,1-3,Atletico Madrid
Real Sociedad,2-0,Getafe
Real Valladolid,1-2,Athletic Bilbao
Valencia,1-0,Malaga
Real Madrid,3-1,Athletic Bilbao
Espanyol,0-0,Real Betis
Real Sociedad,1-2,Atletico Madrid
Sevilla FC,2-2,Malaga
Valencia,2-3,Barcelona
Celta Vigo,1-1,Granada
Real Valladolid,1-0,Getafe
Osasuna,0-3,Villarreal
Almeria,2-2,Elche
Rayo Vallecano,1-2,Levante
Granada,0-1,Real Madrid
Atletico Madrid,5-0,Rayo Vallecano
Levante,0-0,Sevilla FC
Malaga,0-1,Barcelona
Real Betis,1-2,Celta Vigo
Elche,1-1,Real Sociedad
Espanyol,3-1,Valencia
Villarreal,2-1,Real Valladolid
Getafe,2-2,Almeria
Athletic Bilbao,2-0,Osasuna
Espanyol,3-2,Athletic Bilbao
Real Betis,0-0,Granada
Celta Vigo,0-0,Villarreal
Real Madrid,4-1,Getafe
Valencia,3-1,Sevilla FC
Real Sociedad,0-0,Malaga
Almeria,2-2,Levante
Rayo Vallecano,0-4,Barcelona
Real Valladolid,0-2,Atletico Madrid
Osasuna,2-1,Elche
Elche,0-0,Real Valladolid
Athletic Bilbao,3-2,Celta Vigo
Granada,0-1,Espanyol
Getafe,2-1,Osasuna
Malaga,5-0,Rayo Vallecano
Real Betis,3-1,Valencia
Atletico Madrid,4-2,Almeria
Levante,0-0,Real Sociedad
Barcelona,3-2,Sevilla FC
Villarreal,2-2,Real Madrid
Osasuna,0-1,Levante
Celta Vigo,0-1,Elche
Espanyol,0-2,Getafe
Real Betis,1-0,Villarreal
Valencia,1-0,Rayo Vallecano
Almeria,0-2,Barcelona
Real Sociedad,1-1,Sevilla FC
Real Madrid,0-1,Atletico Madrid
Real Valladolid,2-2,Malaga
Athletic Bilbao,2-1,Real Betis
Getafe,2-0,Celta Vigo
Villarreal,2-1,Espanyol
Granada,0-1,Valencia
Sevilla FC,4-1,Rayo Vallecano
Elche,1-2,Real Madrid
Barcelona,4-1,Real Sociedad
Levante,1-1,Real Valladolid
Atletico Madrid,2-1,Osasuna
Malaga,2-0,Almeria
Atletico Madrid,2-1,Celta Vigo
Sevilla FC,2-1,Almeria
Getafe,3-1,Real Betis
Athletic Bilbao,1-1,Valencia
Elche,2-1,Espanyol
Rayo Vallecano,1-0,Real Sociedad
Levante,2-3,Real Madrid
Barcelona,4-1,Real Valladolid
Villarreal,3-0,Granada
Malaga,0-1,Osasuna
Granada,2-0,Athletic Bilbao
Espanyol,0-0,Malaga
Celta Vigo,0-3,Barcelona
Getafe,0-1,Athletic Bilbao
Sevilla FC,2-1,Osasuna
Villarreal,4-1,Valencia
Real Sociedad,3-0,Almeria
Atletico Madrid,5-0,Real Betis
Malaga,0-5,Celta Vigo
Barcelona,2-1,Real Madrid
Elche,0-1,Granada
Levante,3-0,Espanyol
Rayo Vallecano,0-3,Real Valladolid
Celta Vigo,0-1,Levante
Athletic Bilbao,2-0,Villarreal
Granada,0-2,Getafe
Almeria,0-1,Rayo Vallecano
Real Betis,1-2,Elche
Real Valladolid,2-2,Sevilla FC
Real Madrid,2-0,Malaga
Valencia,1-2,Real Sociedad
